date,equity,close,halted,drawdown_pct
2021-09-16,100000.0,417.9388,False,0.0
2021-09-17,100000.0,413.8677,False,0.0
2021-09-20,100000.0,406.9667,False,0.0
2021-09-21,100000.0,406.5823,False,0.0
2021-09-22,100000.0,410.5485,False,0.0
2021-09-23,100000.0,415.5366,False,0.0
2021-09-24,100000.0,416.2211,False,0.0
2021-09-27,100000.0,415.0304,False,0.0
2021-09-28,100000.0,406.6667,False,0.0
2021-09-29,100000.0,407.3512,False,0.0
2021-09-30,100000.0,402.3724,False,0.0
2021-10-01,100000.0,407.1542,False,0.0
2021-10-04,100000.0,401.9035,False,0.0
2021-10-05,100000.0,406.0854,False,0.0
2021-10-06,100000.0,407.7731,False,0.0
2021-10-07,100000.0,411.2986,False,0.0
2021-10-08,100000.0,410.5485,False,0.0
2021-10-11,100000.0,407.5762,False,0.0
2021-10-12,100000.0,406.573,False,0.0
2021-10-13,100000.0,408.0357,False,0.0
2021-10-14,100000.0,414.899,False,0.0
2021-10-15,100000.0,418.0588,False,0.0
2021-10-18,100000.0,419.2966,False,0.0
2021-10-19,100000.0,422.5313,False,0.0
2021-10-20,100000.0,424.1909,False,0.0
2021-10-21,100000.0,425.2974,False,0.0
2021-10-22,100000.0,424.8566,False,0.0
2021-10-25,100000.0,427.1351,False,0.0
2021-10-26,100000.0,427.5195,False,0.0
2021-10-27,100000.0,425.6254,False,0.0
2021-10-28,99929.94,429.7323,False,0.0701
2021-10-29,100072.11,430.6043,False,0.0
2021-11-01,100192.88,431.345,False,0.0
2021-11-02,100477.21,433.089,False,0.0
2021-11-03,100908.28,435.733,False,0.0
2021-11-04,101243.06,437.7865,False,0.0
2021-11-05,101490.7,439.3054,False,0.0
2021-11-08,101551.84,439.6804,False,0.0
2021-11-09,101314.92,438.2272,False,0.2333
2021-11-10,100740.14,434.7017,False,0.7993
2021-11-11,100763.06,434.8423,False,0.7767
2021-11-12,101298.09,438.124,False,0.2499
2021-11-15,101322.56,438.2741,False,0.2258
2021-11-16,101605.36,440.0087,False,0.0
2021-11-17,101431.08,438.9397,False,0.1715
2021-11-18,101674.15,440.4306,False,0.0
2021-11-19,101545.74,439.643,False,0.1263
2021-11-22,101343.95,438.4053,False,0.3248
2021-11-23,101438.74,438.9867,False,0.2315
2021-11-24,101629.82,440.1587,False,0.0436
2021-11-26,100186.68,430.3417,False,1.463
2021-11-29,100186.68,435.6206,False,1.463
2021-11-30,100186.68,427.1444,False,1.463
2021-12-01,100186.68,422.4001,False,1.463
2021-12-02,100186.68,428.8697,False,1.463
2021-12-03,100186.68,425.138,False,1.463
2021-12-06,100186.68,430.173,False,1.463
2021-12-07,100186.68,439.0711,False,1.463
2021-12-08,100186.68,440.2337,False,1.463
2021-12-09,100186.68,437.2614,False,1.463
2021-12-10,100186.68,441.3776,False,1.463
2021-12-13,100186.68,437.4677,False,1.463
2021-12-14,100186.68,434.4579,False,1.463
2021-12-15,100186.68,441.2464,False,1.463
2021-12-16,100186.68,437.3552,False,1.463
2021-12-17,100186.68,432.7005,False,1.463
2021-12-20,100186.68,428.0994,False,1.463
2021-12-21,100186.68,435.702,False,1.463
2021-12-22,100186.68,440.0585,False,1.463
2021-12-23,100186.68,442.7966,False,1.463
2021-12-27,100186.68,449.063,False,1.463
2021-12-28,100186.68,448.6961,False,1.463
2021-12-29,100186.68,449.2701,False,1.463
2021-12-30,100186.68,448.028,False,1.463
2021-12-31,100186.68,446.899,False,1.463
2022-01-03,100186.68,449.4865,False,1.463
2022-01-04,100186.68,449.3359,False,1.463
2022-01-05,100186.68,440.7077,False,1.463
2022-01-06,100186.68,440.2937,False,1.463
2022-01-07,100186.68,438.553,False,1.463
2022-01-10,100186.68,438.0073,False,1.463
2022-01-11,100186.68,441.9967,False,1.463
2022-01-12,100186.68,443.1917,False,1.463
2022-01-13,100186.68,437.0852,False,1.463
2022-01-14,100186.68,437.2639,False,1.463
2022-01-18,100186.68,429.5202,False,1.463
2022-01-19,100186.68,425.0602,False,1.463
2022-01-20,100186.68,420.3556,False,1.463
2022-01-21,100186.68,412.1038,False,1.463
2022-01-24,100186.68,413.8538,False,1.463
2022-01-25,100186.68,408.8012,False,1.463
2022-01-26,100186.68,407.7755,False,1.463
