date,equity,buy_hold
2026-05-16 13:00:00,100000.0,100000.0
2026-05-16 14:00:00,100000.0,100151.96960607877
2026-05-16 15:00:00,100000.0,100191.96160767847
2026-05-16 16:00:00,100000.0,100755.84883023394
2026-05-16 17:00:00,100000.0,102135.5728854229
2026-05-16 18:00:00,100000.0,101733.65326934612
2026-05-16 19:00:00,100000.0,102705.45890821837
2026-05-16 20:00:00,99804.39121756487,102573.48530293941
2026-05-16 21:00:00,99522.2100003358,102277.54449110178
2026-05-16 22:00:00,99465.01110495153,102217.55648870225
2026-05-16 23:00:00,99493.61055264366,102247.55048990202
2026-05-17 00:00:00,99194.26966679932,101933.61327734451
2026-05-17 01:00:00,97104.60335542729,99742.05158968206
2026-05-17 02:00:00,96876.33781698742,99702.05958808238
2026-05-17 03:00:00,96876.33781698742,100861.82763447311
2026-05-17 04:00:00,96686.83919211588,102899.42011597681
2026-05-17 05:00:00,96526.65283024427,102725.45490901818
2026-05-17 06:00:00,96751.28198137457,102969.40611877626
2026-05-17 07:00:00,97922.29952333246,104241.15176964605
2026-05-17 08:00:00,97010.89436095957,103251.34973005399
2026-05-17 09:00:00,97607.45046724002,103899.2201559688
2026-05-17 10:00:00,98130.35767151053,104467.10657868428
2026-05-17 11:00:00,96384.87869387517,102571.48570285943
2026-05-17 12:00:00,96539.54138809601,102739.45210957807
2026-05-17 13:00:00,96738.39342352282,102955.40891821634
2026-05-17 14:00:00,96821.248438284,103045.39092181563
2026-05-17 15:00:00,96834.13699613574,103059.38812237552
2026-05-17 16:00:00,96563.47728124923,102765.44691061786
2026-05-17 17:00:00,97209.7463963864,103467.30653869227
2026-05-17 18:00:00,98209.5302411712,104553.08938212358
2026-05-17 19:00:00,99054.65139173517,105470.90581883623
2026-05-17 20:00:00,100816.70137232274,107384.52309538091
2026-05-17 21:00:00,103521.45729863747,110321.93561287742
2026-05-17 22:00:00,101711.53553174342,108356.32873425314
2026-05-17 23:00:00,100617.84933689595,107168.56628674264
2026-05-18 00:00:00,99848.21831089216,106332.73345330934
2026-05-18 01:00:00,99192.74308300378,105620.87582483504
2026-05-18 02:00:00,99023.35060838093,105436.9126174765
2026-05-18 03:00:00,99568.35248325442,106028.79424115177
2026-05-18 04:00:00,102367.01075963181,109068.18636272746
2026-05-18 05:00:00,99966.05655410804,106460.7078584283
2026-05-18 06:00:00,99507.59213909622,105962.80743851227
2026-05-18 07:00:00,100117.03680322842,106624.67506498701
2026-05-18 08:00:00,100315.88883865521,106840.63187362527
2026-05-18 09:00:00,98686.40688168551,105070.98580283945
2026-05-18 10:00:00,97655.32225354647,103951.2097580484
2026-05-18 11:00:00,98610.91675712532,104989.00219956007
2026-05-18 12:00:00,98526.22051981391,104897.02059588082
2026-05-18 13:00:00,98081.30013788171,104623.07538492301
2026-05-18 14:00:00,98081.30013788171,104867.02659468108
2026-05-18 15:00:00,97889.44450088545,106704.65906818636
2026-05-18 16:00:00,96958.2635331357,105668.86622675465
2026-05-18 17:00:00,97254.87523135715,105998.800239952
2026-05-18 18:00:00,98419.7502643723,107294.54109178165
2026-05-18 19:00:00,101894.60125020293,111159.76804639072
2026-05-18 20:00:00,101067.68378849464,110239.95200959807
2026-05-18 21:00:00,102534.56345969891,111871.62567486503
2026-05-18 22:00:00,102642.42225905217,111991.60167966406
2026-05-18 23:00:00,103255.41976870982,112673.4653069386
2026-05-19 00:00:00,103303.95622841879,112727.45450909818
2026-05-19 01:00:00,103978.07372437662,113477.30453909218
2026-05-19 02:00:00,103345.3021015042,112773.44531093781
2026-05-19 03:00:00,104727.69237988173,114311.13777244551
2026-05-19 04:00:00,104341.1983488659,113881.22375524894
2026-05-19 05:00:00,103931.33491132355,113425.3149370126
2026-05-19 06:00:00,103927.73961801176,113421.31573685263
2026-05-19 07:00:00,104139.8619234065,113657.26854629072
2026-05-19 08:00:00,103066.66686984162,112463.50729854027
2026-05-19 09:00:00,103201.49036903318,112613.47730453908
2026-05-19 10:00:00,102322.44115430416,111635.67286542691
2026-05-19 11:00:00,101626.75189847569,110861.8276344731
2026-05-19 12:00:00,102090.54473569468,111377.72445510898
2026-05-19 13:00:00,103525.06676709295,112973.4053189362
2026-05-19 14:00:00,101655.5142449699,110893.82123575284
2026-05-19 15:00:00,103593.37734001668,113049.39012197561
2026-05-19 16:00:00,104535.34418770176,114097.18056388722
2026-05-19 17:00:00,106000.42621225012,115726.85462907417
2026-05-19 18:00:00,104824.76529929966,114419.11617676466
2026-05-19 19:00:00,104724.09708656995,114307.13857228553
2026-05-19 20:00:00,105099.80523765046,114725.05498900221
2026-05-19 21:00:00,104840.94411920264,114437.11257748448
2026-05-19 22:00:00,104438.27126828382,113989.20215956807
2026-05-19 23:00:00,105142.94875739176,114773.04539092182
2026-05-20 00:00:00,105480.90632869862,115148.9702059588
2026-05-20 01:00:00,106442.64728959846,116218.75624875024
2026-05-20 02:00:00,106253.89439073026,116008.79824035191
2026-05-20 03:00:00,107688.41642212853,117604.47910417915
2026-05-20 04:00:00,106284.45438388037,116042.79144171166
2026-05-20 05:00:00,107226.42123156544,117090.5818836233
2026-05-20 06:00:00,107228.21887822133,117092.58148370327
2026-05-20 07:00:00,107345.06591085403,117222.55548890222
2026-05-20 08:00:00,106153.22617800056,115896.82063587283
2026-05-20 09:00:00,107585.95056274296,117490.50189962007
2026-05-20 10:00:00,106944.1907065911,116776.64467106579
2026-05-20 11:00:00,106883.07072029091,116708.6582683463
2026-05-20 12:00:00,107627.29643582835,117536.49270145969
2026-05-20 13:00:00,108470.39271743964,118474.3051389722
2026-05-20 14:00:00,112860.24585111704,123357.32853429313
2026-05-20 15:00:00,115858.72047313751,126692.66146770646
2026-05-20 16:00:00,115635.81228780745,126444.71105778845
2026-05-20 17:00:00,119585.24199079242,130837.83243351331
2026-05-20 18:00:00,118966.85154116708,130149.9700059988
2026-05-20 19:00:00,123838.47397862238,135568.88622275545
2026-05-20 20:00:00,124374.17268207687,136164.76704659068
2026-05-20 21:00:00,122801.23185817526,134415.11697660468
2026-05-20 22:00:00,122359.01078082691,133923.21535692862
2026-05-20 23:00:00,123040.31886340829,134681.06378724254
2026-05-21 00:00:00,123317.15644841499,134989.00219956008
2026-05-21 01:00:00,123638.93519981885,135346.93061387722
2026-05-21 02:00:00,122878.53066437841,134501.099780044
2026-05-21 03:00:00,123031.33063012885,134671.06578684264
2026-05-21 04:00:00,122896.50713093729,134521.09578084384
2026-05-21 05:00:00,122475.8578134596,134053.18936212757
2026-05-21 06:00:00,122074.98260919667,133607.27854429113
2026-05-21 07:00:00,121445.80627963602,132907.41851629672
2026-05-21 08:00:00,121857.4673638343,133365.32693461308
2026-05-21 09:00:00,121429.62745973305,132889.4221155769
2026-05-21 10:00:00,120532.60177844515,131891.62167566485
2026-05-21 11:00:00,119630.1831571896,130887.82243551289
2026-05-21 12:00:00,120822.02289004305,132213.5572885423
2026-05-21 13:00:00,122024.64850283183,133551.28974205157
