date,equity,drawdown_pct
2021-09-16,100000.0,0.0
2021-09-17,100000.0,0.0
2021-09-20,100000.0,0.0
2021-09-21,100000.0,0.0
2021-09-22,99901.09890109891,-0.098901098901083
2021-09-23,101102.74604743898,0.0
2021-09-24,101267.65162913607,0.0
2021-09-27,100980.76693765706,-0.2832935166005912
2021-09-28,98965.97228675763,-2.2728673029840607
2021-09-29,99130.88522013686,-2.1100187222910183
2021-09-30,97931.50974357275,-3.2943806160144695
2021-10-01,99083.43011203402,-2.156879795239197
2021-10-04,97818.54379607341,-3.4059324745616126
2021-10-05,98825.94479736418,-2.4111419515423838
2021-10-06,99232.50752212068,-2.0096685113905166
2021-10-07,100081.78854431372,-1.1710186478553264
2021-10-08,99901.09890109891,-1.3494464481528357
2021-10-11,99185.08182074633,-2.0565005457187535
2021-10-12,98943.38791927631,-2.295168963107508
2021-10-13,99295.74669174122,-1.9472209591828937
2021-10-14,100949.14735284679,-0.3145172927043971
2021-10-15,101710.35522320839,0.0
2021-10-18,102008.48798833533,0.0
2021-10-19,102787.77364503694,0.0
2021-10-20,103187.57282224044,0.0
2021-10-21,103454.09335423923,0.0
2021-10-22,103347.92036102139,-0.1026281220737113
2021-10-25,103896.80429999366,0.0
2021-10-26,103989.39873633065,0.0
2021-10-27,103533.14599210597,-0.43874928576279615
2021-10-28,104522.4618553746,0.0
2021-10-29,104732.5288203522,0.0
2021-11-01,104910.97620051955,0.0
2021-11-02,105331.11013047479,0.0
2021-11-03,105968.05986959639,0.0
2021-11-04,106462.72515291281,0.0
2021-11-05,106828.63307553009,0.0
2021-11-08,106918.99995218386,0.0
2021-11-09,106568.89079444854,-0.32745270521786773
2021-11-10,105719.61712393761,-1.121767720220579
2021-11-11,105753.47162011323,-1.0901040344484025
2021-11-12,106544.04946055551,-0.3506864933230158
2021-11-15,106580.17562650707,-0.31689814329382004
2021-11-16,106998.0525900506,0.0
2021-11-17,106740.54522033439,-0.24066547332671773
2021-11-18,107099.67489203441,0.0
2021-11-19,106909.95003149066,-0.1771479332080217
2021-11-22,106611.82461804584,-0.4555105087670652
2021-11-23,106751.83740407505,-0.3247792192740184
2021-11-24,107034.17875600216,-0.06115437427637316
2021-11-26,104669.29700241379,-2.269267289625898
