ts,equity
2023-09-24 00:00:00+00:00,10000.0
2023-09-24 04:00:00+00:00,10025.549310168626
2023-09-24 08:00:00+00:00,10015.329586101177
2023-09-24 12:00:00+00:00,9979.560551865103
2023-09-24 16:00:00+00:00,9943.791517629026
2023-09-24 20:00:00+00:00,9892.692897291776
2023-09-25 00:00:00+00:00,9948.90137966275
2023-09-25 04:00:00+00:00,9954.011241696475
2023-09-25 08:00:00+00:00,9989.780275932551
2023-09-25 12:00:00+00:00,10000.0
2023-09-25 16:00:00+00:00,9974.450689831376
2023-09-25 20:00:00+00:00,9908.02248339295
2023-09-26 00:00:00+00:00,9933.571793561576
2023-09-26 04:00:00+00:00,9877.363311190597
2023-09-26 08:00:00+00:00,9908.02248339295
2023-09-26 12:00:00+00:00,9795.605518650998
2023-09-26 16:00:00+00:00,9831.374552887071
2023-09-26 20:00:00+00:00,9704.619315278487
2023-09-27 00:00:00+00:00,9704.619315278487
2023-09-27 04:00:00+00:00,9704.619315278487
2023-09-27 08:00:00+00:00,9704.619315278487
2023-09-27 12:00:00+00:00,9704.619315278487
2023-09-27 16:00:00+00:00,9704.619315278487
2023-09-27 20:00:00+00:00,9704.619315278487
2023-09-28 00:00:00+00:00,9704.619315278487
2023-09-28 04:00:00+00:00,9704.619315278487
2023-09-28 08:00:00+00:00,9704.619315278487
2023-09-28 12:00:00+00:00,9704.619315278487
2023-09-28 16:00:00+00:00,9704.619315278487
2023-09-28 20:00:00+00:00,9685.248817643202
2023-09-29 00:00:00+00:00,9801.704715250133
2023-09-29 04:00:00+00:00,9835.671018718822
2023-09-29 08:00:00+00:00,9748.329095513624
2023-09-29 12:00:00+00:00,9869.637322187513
2023-09-29 16:00:00+00:00,9821.114031517956
2023-09-29 20:00:00+00:00,9840.523347785778
2023-09-30 00:00:00+00:00,9806.557044317091
2023-09-30 04:00:00+00:00,9855.080334986644
2023-09-30 08:00:00+00:00,9840.523347785778
2023-09-30 12:00:00+00:00,10398.541190485661
2023-09-30 16:00:00+00:00,10388.83653235175
2023-09-30 20:00:00+00:00,10369.42721608393
2023-10-01 00:00:00+00:00,10291.789951012643
2023-10-01 04:00:00+00:00,10369.42721608393
2023-10-01 08:00:00+00:00,11145.799866796811
2023-10-01 12:00:00+00:00,11208.880144667235
2023-10-01 16:00:00+00:00,11024.491640122922
2023-10-01 20:00:00+00:00,11582.509482822807
2023-10-02 00:00:00+00:00,11694.113051362785
