ts,equity
2023-09-24 00:00:00+00:00,10000.0
2023-09-24 04:00:00+00:00,10000.0
2023-09-24 08:00:00+00:00,10000.0
2023-09-24 12:00:00+00:00,10000.0
2023-09-24 16:00:00+00:00,10000.0
2023-09-24 20:00:00+00:00,10000.0
2023-09-25 00:00:00+00:00,10000.0
2023-09-25 04:00:00+00:00,10000.0
2023-09-25 08:00:00+00:00,10000.0
2023-09-25 12:00:00+00:00,10000.0
2023-09-25 16:00:00+00:00,10000.0
2023-09-25 20:00:00+00:00,10000.0
2023-09-26 00:00:00+00:00,10000.0
2023-09-26 04:00:00+00:00,10000.0
2023-09-26 08:00:00+00:00,10000.0
2023-09-26 12:00:00+00:00,10000.0
2023-09-26 16:00:00+00:00,10000.0
2023-09-26 20:00:00+00:00,10000.0
2023-09-27 00:00:00+00:00,10000.0
2023-09-27 04:00:00+00:00,10000.0
2023-09-27 08:00:00+00:00,10000.0
2023-09-27 12:00:00+00:00,10000.0
2023-09-27 16:00:00+00:00,10000.0
2023-09-27 20:00:00+00:00,10000.0
2023-09-28 00:00:00+00:00,10000.0
2023-09-28 04:00:00+00:00,10000.0
2023-09-28 08:00:00+00:00,10000.0
2023-09-28 12:00:00+00:00,10000.0
2023-09-28 16:00:00+00:00,9980.03992015968
2023-09-28 20:00:00+00:00,9996.267627346931
2023-09-29 00:00:00+00:00,10018.986417409084
2023-09-29 04:00:00+00:00,10152.053616344545
2023-09-29 08:00:00+00:00,10191.000113593951
2023-09-29 12:00:00+00:00,10252.665400905504
2023-09-29 16:00:00+00:00,10203.98227934375
2023-09-29 20:00:00+00:00,10197.49119646885
2023-09-30 00:00:00+00:00,10132.580367719844
2023-09-30 04:00:00+00:00,10145.562533469643
2023-09-30 08:00:00+00:00,10314.330688217062
2023-09-30 12:00:00+00:00,10346.786102591563
2023-09-30 16:00:00+00:00,10385.732599840969
2023-09-30 20:00:00+00:00,10262.402025217856
2023-10-01 00:00:00+00:00,10343.540561154112
2023-10-01 04:00:00+00:00,10418.18801421547
2023-10-01 08:00:00+00:00,10528.536423088783
2023-10-01 12:00:00+00:00,10541.518588838584
2023-10-01 16:00:00+00:00,10466.871135777224
2023-10-01 20:00:00+00:00,10726.51445077325
2023-10-02 00:00:00+00:00,10658.358080586791
2023-10-02 04:00:00+00:00,10648.621456274443
2023-10-02 08:00:00+00:00,10570.728461775634
2023-10-02 12:00:00+00:00,10262.402025217856
2023-10-02 16:00:00+00:00,10076.195550068715
2023-10-02 20:00:00+00:00,10076.195550068715
2023-10-03 00:00:00+00:00,10076.195550068715
2023-10-03 04:00:00+00:00,10076.195550068715
2023-10-03 08:00:00+00:00,10076.195550068715
2023-10-03 12:00:00+00:00,10076.195550068715
2023-10-03 16:00:00+00:00,10076.195550068715
